node_type,weight_strength,lateral_mode,layer1_rsync,layer1_mean_spike_count,layer1_max_spike_count,layer1_sparseness,layer2_rsync,layer2_mean_spike_count,layer2_max_spike_count,layer2_sparseness,layer3_rsync,layer3_mean_spike_count,layer3_max_spike_count,layer3_sparseness
LIF,0.2,Random,0.02513695944934704,39.55,52.0,0.9652763819095478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.2,Clustered,0.023006863415963884,38.46,54.0,0.9663718592964824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.5,Random,0.024732234005036855,39.61,54.0,0.96521608040201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.5,Clustered,0.022716502624811365,37.22,62.0,0.9676180904522613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,1.0,Random,0.02738001220309066,41.43,62.0,0.9633869346733669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,1.0,Clustered,0.023892452533392724,35.62,78.0,0.9692261306532663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
